Brand,Generation(G),Color,Ratings,RAM(GB),ROM(GB),Display(inch),Camera(MP),Battery(mAh),Reviews,Discount(%off),Price(rupees)
vivo,5,Velocity Wave,5.0,6,128,6.38,64,4500,,29.0,16999.0
OPPO,5,Rock Grey,4.3,8,256,6.7,50,5000,9253.0,21.0,31999.0
OPPO,5,Pearl White,4.3,12,256,6.7,50,4600,9253.0,11.0,39999.0
Infinix,,Crystal Green,4.3,3,64,6.6,13,5000,9253.0,21.0,6299.0
Infinix,,Shiny Gold,4.4,3,64,6.6,13,5000,102889.0,21.0,6299.0
Infinix,,Timber Black,4.4,3,64,6.6,13,5000,10020.0,21.0,6299.0
realme,5,Midnight Black,4.3,6,128,6.72,64,5000,1936.0,11.0,14999.0
Nothing,,2,4.2,12,512,6.7,50,4700,26664.0,28.0,42999.0
POCO,5,Orion Blue,4.3,6,128,6.74,50,5000,15763.0,21.0,10999.0
Infinix,,Marigold,4.3,4,64,6.6,50,5000,15763.0,23.0,7699.0
vivo,5,Velocity Wave,4.4,8,128,6.38,64,4500,88590.0,24.0,18999.0
vivo,5,Nitro Blaze,4.5,8,128,6.38,64,4500,3563.0,24.0,18999.0
vivo,5,Nitro Blaze,4.6,6,128,6.38,64,4500,264489.0,29.0,16999.0
SAMSUNG,5,Green,4.4,8,256,6.1,50,3900,102889.0,27.0,69999.0
APPLE,,Blue,4.2,,256,6.1,12,,52447.0,14.0,67999.0
realme,5,Purple Dawn,4.3,6,128,6.72,64,5000,51469.0,11.0,14999.0
POCO,5,Power Black,4.3,6,128,6.58,50,5000,89482.0,42.0,10999.0
POCO,5,Forest Green,4.3,4,128,6.79,50,5000,12360.0,31.0,10999.0
REDMI,,Jade Black,4.2,4,128,6.79,50,5000,69035.0,36.0,9499.0
realme,5,Purple Dawn,4.1,8,128,6.72,64,5000,2945.0,15.0,15999.0
MOTOROLA,,Eclipse Black,4.5,8,256,6.5,50,4400,57453.0,22.0,26999.0
REDMI,,Classic Black,4.0,2,64,6.52,8,5000,65.0,47.0,5299.0
vivo,5,Dune Gold,4.5,8,128,6.78,64,4600,3563.0,11.0,23999.0
I,,Dark Purple,4.3,6,128,6.8,21,6000,,20.0,9499.0
SAMSUNG,5,Cream,5.0,8,128,6.1,50,3900,,27.0,64999.0
OPPO,5,Rock Grey,4.4,8,256,6.7,50,5000,42632.0,21.0,31999.0
OPPO,5,Pearl White,4.2,12,256,6.7,50,4600,363.0,11.0,39999.0
OnePlus,5,Chromatic Gray,4.2,8,256,6.72,108,5000,4049.0,3.0,21234.0
REDMI,5,Startrail Silver,4.4,6,128,6.74,50,5000,42632.0,20.0,12712.0
Infinix,5,Sunset Gold,4.3,4,128,6.78,108,5000,1783.0,16.0,14999.0
OnePlus,5,Pastel lime,4.5,8,256,6.72,108,5000,3563.0,2.0,21394.0
realme,5,Astral Black,4.3,12,256,6.7,100,5000,259.0,9.0,27999.0
SAMSUNG,5,Phantom Black,4.4,8,256,6.1,50,3900,17047.0,27.0,69999.0
REDMI,5,Fusion Purple,4.4,12,512,6.67,200,5000,17047.0,5.0,35999.0
realme,5,Oasis Green,4.4,12,256,6.7,200,5000,17047.0,9.0,29999.0
realme,5,Sunrise Beige,4.1,12,256,6.7,200,5000,2017.0,9.0,29999.0
realme,5,Astral Black,4.1,12,256,6.7,200,5000,104496.0,9.0,29999.0
REDMI,,Sea Green,4.4,4,128,6.52,8,5000,42632.0,41.0,7333.0
MOTOROLA,,Satin Maroon,4.1,8,128,6.5,50,5000,2017.0,47.0,9999.0
OnePlus,5,Pastel Lime,4.6,8,128,6.72,108,5000,264489.0,4.0,19137.0
REDMI,,Classic Black,4.3,4,128,6.52,8,5000,5716.0,41.0,7345.0
APPLE,,(PRODUCT,4.3,,128,6.1,12,,14462.0,17.0,57999.0
REDMI,5,Jade Black,4.3,4,128,6.79,50,5000,1783.0,15.0,13499.0
REDMI,5,Jade Black,4.2,6,128,6.79,50,5000,370.0,25.0,13339.0
realme,5,Sunrise Beige,4.3,12,256,6.7,100,5000,124699.0,9.0,27999.0
REDMI,5,Startrail Silver,4.2,4,128,6.74,50,5000,363.0,17.0,11508.0
Samsung,5,Navy,4.3,8,128,6.4,12,4500,3107.0,54.0,31999.0
REDMI,5,Starlight Black,4.3,6,128,6.74,50,5000,,22.0,12378.0
POCO,,Matte Black,5.0,4,128,6.74,50,5000,,31.0,7499.0
REDMI,,Aqua Blue,4.1,4,128,6.52,8,5000,2017.0,39.0,7564.0
POCO,5,Yellow,4.2,6,128,6.58,50,5000,52447.0,42.0,10999.0
OPPO,5,Rock Grey,4.2,8,256,6.7,50,5000,15425.0,21.0,31999.0
OPPO,5,Pearl White,4.3,12,256,6.7,50,4600,124699.0,11.0,39999.0
Infinix,,Force Black,4.3,4,64,6.7,50,5000,14462.0,34.0,8499.0
Samsung,5,Navy,4.2,8,256,6.4,12,4500,503.0,54.0,33999.0
REDMI,5,Moonstone Silver,4.2,6,128,6.79,50,5000,52776.0,23.0,13798.0
POCO,5,Galactic Black,4.4,8,256,6.74,50,5000,354.0,18.0,12999.0
REDMI,5,Glacier Blue,4.2,6,128,6.67,50,5000,15425.0,21.0,21999.0
REDMI,,Stardust Black,4.6,4,128,6.74,50,5000,2841.0,25.0,8900.0
Infinix,,Metaverse Blue,4.2,4,64,6.7,50,5000,1606.0,34.0,8499.0
SAMSUNG,5,Cream,4.4,12,256,6.8,200,5000,354.0,16.0,124999.0
SAMSUNG,5,Prism Silver,4.2,6,128,6.5,50,6000,38978.0,33.0,16260.0
REDMI,,Starshine Green,4.1,4,128,6.74,50,5000,199.0,23.0,9185.0
OPPO,5,Ice Blue,4.4,8,256,6.7,64,5000,83111.0,15.0,32999.0
REDMI,,Starshine Green,4.4,6,128,6.74,50,5000,83111.0,29.0,9888.0
realme,5,Sunrise Beige,4.6,8,256,6.7,100,5000,207174.0,10.0,24999.0
realme,5,Oasis Green,4.4,8,256,6.7,100,5000,83111.0,10.0,24999.0
APPLE,,White,4.2,,64,6.1,12,,215.0,15.0,41999.0
realme,5,Astral Black,4.1,8,256,6.7,100,5000,104496.0,10.0,24999.0
REDMI,,Stardust Black,4.6,8,256,6.74,50,5000,207174.0,32.0,10865.0
MOTOROLA,,Rose Gold,4.6,8,128,6.5,50,5000,59225.0,47.0,9999.0
APPLE,,Blue,4.2,,128,6.1,12,,,14.0,46999.0
APPLE,,Starlight,5.0,,128,6.7,12,,,17.0,65999.0
REDMI,5,Glacier Blue,4.2,6,128,6.67,50,5000,52776.0,21.0,21999.0
POCO,,Pastel Blue,4.3,4,128,6.74,50,5000,3107.0,31.0,7499.0
OPPO,5,Rock Grey,4.2,8,256,6.7,50,5000,15425.0,21.0,31999.0
OPPO,5,Pearl White,4.2,12,256,6.7,50,4600,74386.0,11.0,39999.0
Infinix,,Metaverse Blue,4.2,4,64,6.7,50,5000,65922.0,34.0,8499.0
Infinix,5,Magic Black,4.6,8,256,6.78,108,5000,2841.0,25.0,14999.0
SAMSUNG,,,4.2,,,1.5,,800,38978.0,26.0,1479.0
SAMSUNG,5,Cream,4.2,12,256,6.8,200,5000,13205.0,16.0,124999.0
OPPO,5,Ice Blue,4.2,8,256,6.7,64,5000,24459.0,15.0,32999.0
SAMSUNG,5,Icy Silver,4.6,6,128,6.6,50,6000,207174.0,30.0,13190.0
SAMSUNG,5,Orchid Violet,4.6,6,128,6.5,50,6000,59225.0,34.0,15999.0
APPLE,,White,4.6,,64,6.1,12,,207174.0,15.0,41999.0
APPLE,,Starlight,4.2,,128,6.7,12,,74386.0,17.0,65999.0
APPLE,,Blue,4.2,,128,6.1,12,,74386.0,14.0,46999.0
Infinix,5,Sunset Gold,4.2,8,256,6.78,108,5000,69035.0,25.0,14999.0
Infinix,5,Interstellar Blue,4.2,8,256,6.78,108,5000,503.0,25.0,14999.0
MOTOROLA,,Viva Magenta,4.1,8,256,6.5,50,4400,25504.0,22.0,26999.0
POCO,5,Orion Blue,4.4,8,256,6.74,50,5000,442.0,18.0,12999.0
MOTOROLA,,Cosmic Black,4.6,8,128,6.5,13,5000,264489.0,31.0,7499.0
REDMI,5,Midnight Black,4.3,8,128,6.67,200,5100,130361.0,10.0,25999.0
APPLE,,Midnight,4.3,,256,6.1,12,,130361.0,14.0,67999.0
Infinix,,Night Black,4.3,4,64,6.6,13,6000,130361.0,30.0,6999.0
Infinix,,Azure Blue,4.6,4,64,6.6,13,6000,,30.0,6999.0
Infinix,,Emerald Green,5.0,4,64,6.6,13,6000,,30.0,6999.0
SAMSUNG,,,4.3,,,,,800,217788.0,36.0,1599.0
Infinix,,Marigold,4.2,8,128,6.6,50,5000,137902.0,30.0,8299.0
realme,5,Glory Gold,4.3,8,256,6.72,108,5000,47439.0,13.0,19999.0
realme,,Sunshower,4.3,6,64,6.72,64,5000,17197.0,21.0,13999.0
OPPO,5,Rock Grey,4.6,8,256,6.7,50,5000,2841.0,11.0,31999.0
OPPO,5,Pearl White,4.3,12,256,6.7,50,4600,30849.0,16.0,39999.0
SAMSUNG,5,Green,4.3,12,256,6.8,200,5000,217788.0,12.0,124999.0
realme,,Sunshower,3.3,8,128,6.72,64,5000,258.0,28.0,13999.0
SAMSUNG,,,4.1,,,,,800,36617.0,30.0,1999.0
GFive,,,3.9,,16,1.8,3,1000,7059.0,34.0,692.0
MOTOROLA,,Pale Lilac,4.2,4,128,6.5,50,5000,20275.0,45.0,8499.0
itel,,,4.2,,,2.4,3,2500,6479.0,30.0,1746.0
SAMSUNG,5,Stardust Silver,4.3,8,256,6.7,108,6000,12377.0,25.0,24999.0
REDMI,5,Pastel Blue,4.3,8,256,6.79,50,5000,12377.0,25.0,14999.0
Google,,Lemongrass,4.6,8,128,6.3,50,4270,207174.0,25.0,44999.0
Google,,Snow,4.4,8,128,6.3,50,4270,7056.0,15.0,44999.0
APPLE,,Black,4.4,,64,6.1,12,,7056.0,20.0,41999.0
Nothing,,2,4.1,8,128,6.7,50,4700,36617.0,20.0,39999.0
Nothing,,2,4.1,8,128,6.7,50,4700,25504.0,34.0,39999.0
MOTOROLA,,Sky Blue,4.2,4,128,6.5,50,5000,363.0,31.0,8499.0
MOTOROLA,,Little Boy Blue,4.4,8,128,6.5,13,5000,103760.0,20.0,7499.0
REDMI,5,Startrail Silver,4.4,6,128,6.74,50,5000,103760.0,30.0,12712.0
realme,,Sunshower,4.3,4,64,6.72,64,5000,,30.0,8999.0
realme,,Rainy Night,4.0,4,64,6.72,64,5000,,25.0,8999.0
OPPO,5,Rock Grey,4.2,8,256,6.7,50,5000,24459.0,21.0,31999.0
